rang	prototype	aux	compte	exemples	freqfilms2
1	.*er	avoir	4909	parler, aimer, passer, penser, trouver	23.5723190471
2	être	avoir	1	être	41.4862686541
3	avoir	avoir	1	avoir	55.765462371
4	aller	être	1	aller	60.2062204957
5	.*faire	avoir	5	faire, refaire, satisfaire, défaire, contrefaire	64.1656614784
6	.*dire	avoir	8	dire, interdire, prédire, redire, contredire	66.8476398026
7	pouvoir	avoir	1	pouvoir	69.3026914129
8	.*vouloir	avoir	2	vouloir, revouloir	71.6356672587
9	.*savoir	avoir	3	savoir, non-savoir, assavoir	73.6428870158
10	.*andre|.*endre|.*ondre|.*erdre|.*ordre|.*eurdre	avoir	47	attendre, entendre, perdre, rendre, répondre	75.5675911999
11	.*voir|.*oir	avoir	5	voir, revoir, entrevoir, ravoir, comparoir	77.4722486502
12	.*venir	être	11	venir, revenir, devenir, souvenir, parvenir	79.346860442
13	arriver|entrer|rentrer|rester|retomber|tomber	être	6	arriver, rester, rentrer, entrer, tomber	80.972250139
14	.*prendre	avoir	12	prendre, comprendre, apprendre, reprendre, surprendre	82.4631920684
15	.*devoir	avoir	2	devoir, redevoir	83.8997531776
16	.*ger	avoir	165	manger, changer, bouger, déranger, arranger	85.0758845082
17	.*ir	avoir	304	finir, agir, choisir, réussir, réfléchir	86.2503360194
18	.*suivre	avoir	2	suivre, poursuivre	87.2081708193
19	.*croire	avoir	1	croire	87.9689868009
20	.*e([lt])er	avoir	112	appeler, rappeler, jeter, rejeter, projeter	88.7272741655
21	.*mettre	avoir	15	mettre, promettre, permettre, remettre, admettre	89.4705453667
22	falloir	avoir	1	falloir	90.2054707985
23	.*cer	avoir	107	commencer, avancer, recommencer, lancer, forcer	90.8894950361
24	.*é([djlmnprsty])er	avoir	148	espérer, inquiéter, préférer, répéter, récupérer	91.5618271973
25	.*connaître|.*paraître	avoir	10	connaître, disparaître, reconnaître, paraître, apparaître	92.2029627126
26	.*e([mnprsv])er	avoir	35	emmener, amener, ramener, enlever, lever	92.8138881424
27	.*ayer	avoir	30	essayer, payer, effrayer, balayer, rayer	93.3314724964
28	partir	être	1	partir	93.8256193701
29	circonvenir|contrevenir|prévenir|subvenir|.*tenir	avoir	14	tenir, prévenir, maintenir, obtenir, appartenir	94.3116248969
30	.*ouvrir|.*frir	avoir	9	ouvrir, offrir, découvrir, souffrir, couvrir	94.7279756901
31	mourir	être	1	mourir	95.1352296835
32	sortir	avoir	1	sortir	95.5281918802
33	ressortir|.*mentir|.*sentir|.*partir	avoir	7	sentir, ressentir, repartir, ressortir, consentir	95.8390606805
34	.*plaire	avoir	3	plaire, déplaire, complaire	96.1147643727
35	.*vivre	avoir	3	vivre, survivre, revivre	96.3743631296
36	.*uire	avoir	24	conduire, détruire, construire, produire, réduire	96.6270159666
37	envoyer|renvoyer	avoir	2	envoyer, renvoyer	96.8133959287
38	.*foutre	avoir	3	foutre, contrefoutre, refoutre	96.9919056258
39	.*dormir	avoir	1	dormir	97.1661446709
40	.*crire	avoir	12	écrire, décrire, inscrire, prescrire, réécrire	97.3326734339
41	.*boire	avoir	2	boire, reboire	97.4835194385
42	.*asseoir	avoir	2	asseoir, rasseoir	97.6278105923
43	.*servir	avoir	4	servir, resservir, desservir, reservir	97.7670222921
44	acheter|bégueter|bouveter|breveter|caleter|corseter|crocheter|émoucheter|fileter|fureter|haleter|préacheter|racheter|.*éceter	avoir	8	acheter, racheter, haleter, crocheter, fureter	97.9050252331
45	.*lire	avoir	4	lire, élire, relire, réélire	98.0381664745
46	.*battre	avoir	9	battre, abattre, combattre, débattre, rabattre	98.1705433536
47	.*cevoir	avoir	9	recevoir, apercevoir, décevoir, concevoir, percevoir	98.2979963176
48	.*oyer|.*uyer	avoir	52	ennuyer, nettoyer, appuyer, noyer, employer	98.4169168657
49	.*valoir	avoir	2	valoir, équivaloir	98.5228165914
50	suffire	avoir	1	suffire	98.6259477259
51	.*rire	avoir	2	rire, sourire	98.7122495586
52	.*iendre|.*eindre	avoir	19	atteindre, éteindre, peindre, enfreindre, feindre	98.7950939852
53	.*aindre	avoir	3	craindre, plaindre, contraindre	98.8774673514
54	mentir	avoir	1	mentir	98.9597607262
55	.*courir	avoir	9	courir, parcourir, secourir, accourir, recourir	99.0390277596
56	.*éger	avoir	13	protéger, piéger, abréger, alléger, siéger	99.1128553779
57	taire	avoir	1	taire	99.1814968871
58	.*oindre	avoir	6	rejoindre, joindre, adjoindre, enjoindre, disjoindre	99.2462010418
59	.*fuir	avoir	2	fuir, enfuir	99.3092875926
60	.*ég([lnru])er	avoir	12	régler, régner, intégrer, léguer, réintégrer	99.367903513
61	.*naître	être	1	naître	99.419497966
62	ficher	avoir	1	ficher	99.4629821798
63	.*vaincre	avoir	3	convaincre, vaincre, reconvaincre	99.500555918
64	prévoir	avoir	1	prévoir	99.5353121813
65	.*ompre	avoir	3	rompre, interrompre, corrompre	99.5682508623
66	.*pleuvoir	avoir	1	pleuvoir	99.5981054304
67	parfaire	avoir	1	parfaire	99.6247958942
68	.*haïr	avoir	1	haïr	99.6494288014
69	.*cueillir	avoir	3	accueillir, cueillir, recueillir	99.6736039801
70	.*endormir|redormir	avoir	3	endormir, rendormir, redormir	99.6973969776
71	.*écher	avoir	14	sécher, lécher, pécher, dessécher, assécher	99.7209722208
72	aciseler|celer|ciseler|congeler|crêpeler|déceler|décongeler|dégeler|démanteler|écarteler|embreler|encasteler|épinceler|friseler|geler|harceler|marteler|modeler|peler|receler|recongeler|regeler|remodeler|surgeler	avoir	21	geler, harceler, congeler, modeler, déceler	99.7440364078
73	bénir	avoir	1	bénir	99.7657051893
74	faillir	avoir	1	faillir	99.785347522
75	.*é([bctv])rer	avoir	12	pénétrer, célébrer, perpétrer, chronométrer, exécrer	99.8037588759
76	résoudre	avoir	1	résoudre	99.8219524754
77	convenir	avoir	1	convenir	99.8391995101
78	.*clure	avoir	2	conclure, exclure	99.8563532214
79	.*quérir	avoir	6	conquérir, acquérir, requérir, reconquérir, enquérir	99.8708449967
80	.*raire	avoir	10	distraire, extraire, traire, soustraire, rentraire	99.885199009
81	.*pourvoir	avoir	1	pourvoir	99.8947490934
82	adirer|douer	avoir	1	douer	99.9037703458
83	.*luire	avoir	2	luire, reluire	99.9109295761
84	.*mouvoir	avoir	2	émouvoir, promouvoir	99.9178399442
85	.*coudre	avoir	3	coudre, recoudre, découdre	99.924674765
86	repentir	être	1	repentir	99.9289009773
87	.*neiger	avoir	4	neiger, enneiger, déneiger, reneiger	99.932669461
88	inclure|occlure	avoir	2	inclure, occlure	99.9362824059
89	maudire	avoir	1	maudire	99.9398331353
90	advenir	avoir	1	advenir	99.9433572008
91	.*clore	avoir	2	clore, entreclore	99.946801275
92	vêtir	avoir	1	vêtir	99.9502053535
93	.*bouillir	avoir	1	bouillir	99.9535961
94	renaître	avoir	1	renaître	99.9569024112
95	frire	avoir	1	frire	99.9598532051
96	.*soudre	avoir	2	dissoudre, absoudre	99.9627817791
97	ouïr	avoir	1	ouïr	99.9653237281
98	poindre	avoir	1	poindre	99.9676701425
99	croître	avoir	1	croître	99.9698076905
100	gésir	avoir	1	gésir	99.9719319065
101	asservir|répartir	avoir	2	répartir, asservir	99.9737939286
102	.*saillir	avoir	2	assaillir, tressaillir	99.9756426187
103	.*vêtir	avoir	2	revêtir, dévêtir	99.9773979855
104	.*équer	avoir	6	disséquer, hypothéquer, déféquer, réséquer, rebéquer	99.9791400205
105	.*croître	avoir	2	accroître, décroître	99.9808598356
106	revaloir	avoir	1	revaloir	99.9823930041
107	résulter	avoir	1	résulter	99.9835395475
108	paître	avoir	1	paître	99.9845527719
109	boumer|bruiner|brumasser|brumer|neigeoter|pleuvasser|pleuviner|pleuvoter|pluviner	avoir	5	boumer, bruiner, pleuviner, brumer, brumasser	99.985468229
110	choir	avoir	1	choir	99.9863747982
111	mouvoir	avoir	1	mouvoir	99.9871569363
112	.*seoir	avoir	1	seoir	99.9879346305
113	dépourvoir	avoir	1	dépourvoir	99.9886945488
114	circoncire	avoir	1	circoncire	99.9894455792
115	.*moudre	avoir	2	moudre, émoudre	99.9900899543
116	incomber	avoir	1	incomber	99.9907254416
117	prévaloir	avoir	1	prévaloir	99.9913609288
118	défaillir	avoir	1	défaillir	99.9919475324
119	ensuivre	avoir	1	ensuivre	99.9924852524
120	dépecer	avoir	1	dépecer	99.9930096404
121	déchoir	avoir	1	déchoir	99.9934184854
122	échoir	avoir	1	échoir	99.9937962225
123	éclore	avoir	1	éclore	99.9941650718
124	urger	avoir	1	urger	99.9945250331
125	accroire|courre|malfaire|mécroire|méfaire	avoir	3	courre, accroire, mécroire	99.9948672185
126	départir	avoir	1	départir	99.9951649643
127	oindre	avoir	1	oindre	99.9954182704
128	repaître	avoir	1	repaître	99.9956360247
129	bruire	avoir	1	bruire	99.9958493351
130	.*evrer	avoir	1	sevrer	99.9960404257
131	sourdre	avoir	1	sourdre	99.9962270723
132	.*confire	avoir	2	confire, déconfire	99.9963692792
133	raire	avoir	1	raire	99.9965070422
134	béer	avoir	1	béer	99.9966136974
135	moufter	avoir	1	moufter	99.9966981328
136	impartir	avoir	1	impartir	99.9967825681
137	rapiécer	avoir	1	rapiécer	99.9968625595
138	avenir	avoir	1	avenir	99.996938107
139	becter	avoir	1	becter	99.9970136544
140	surseoir	avoir	1	surseoir	99.997066982
141	occire	avoir	1	occire	99.9971114217
142	forfaire|surfaire	avoir	1	surfaire	99.9971514174
143	discontinuer|endêver|ester	avoir	3	discontinuer, ester, endêver	99.9971691932
144	férir	avoir	1	férir	99.9971869691
145	saillir	avoir	1	saillir	99.997200301
146	déclore	avoir	1	déclore	99.997204745
147	rassir	avoir	1	rassir	99.9972091889
148	enclore	avoir	1	enclore	99.9972091889
149	recroître	avoir	1	recroître	99.9972091889
150	moufeter	avoir	1	moufeter	99.9972091889
151	reclure	avoir	1	reclure	99.9972091889
152	clamecer	avoir	1	clamecer	99.9972091889
